id,code,name,parent_id,lft,rgt,created_at,updated_at
58,0133-4/99,"Cultivo de frutas de lavoura permanente não especificadas anteriormente",46,111,112,2013-02-26 01:03:42.025142,2013-02-26 01:04:19.166942
59,01.34-2,"Cultivo de café",41,114,117,2013-02-26 01:03:42.028809,2013-02-26 01:04:19.186994
60,0134-2/00,"Cultivo de café",59,115,116,2013-02-26 01:03:42.115331,2013-02-26 01:04:19.177921
61,01.35-1,"Cultivo de cacau",41,118,121,2013-02-26 01:03:42.12519,2013-02-26 01:04:19.198418
62,0135-1/00,"Cultivo de cacau",61,119,120,2013-02-26 01:03:42.130663,2013-02-26 01:04:19.195022
63,01.39-3,"Cultivo de plantas de lavoura permanente não especificadas anteriormente",41,122,137,2013-02-26 01:03:42.135087,2013-02-26 01:04:19.263961
64,0139-3/01,"Cultivo de chá-da-índia",63,123,124,2013-02-26 01:03:42.141924,2013-02-26 01:04:19.208158
65,0139-3/02,"Cultivo de erva-mate",63,125,126,2013-02-26 01:03:42.146141,2013-02-26 01:04:19.21787
66,0139-3/03,"Cultivo de pimenta-do-reino",63,127,128,2013-02-26 01:03:42.150206,2013-02-26 01:04:19.229458
67,0139-3/04,"Cultivo de plantas para condimento, exceto pimenta-do-reino",63,129,130,2013-02-26 01:03:42.154213,2013-02-26 01:04:19.237139
68,0139-3/05,"Cultivo de dendê",63,131,132,2013-02-26 01:03:42.158583,2013-02-26 01:04:19.24435
69,0139-3/06,"Cultivo de seringueira",63,133,134,2013-02-26 01:03:42.162224,2013-02-26 01:04:19.248932
70,0139-3/99,"Cultivo de outras plantas de lavoura permanente não especificadas anteriormente",63,135,136,2013-02-26 01:03:42.16627,2013-02-26 01:04:19.256461
71,01.4,"Produção de sementes e mudas certificadas",2,139,150,2013-02-26 01:03:42.169611,2013-02-26 01:04:19.326101
72,01.41-5,"Produção de sementes certificadas",71,140,145,2013-02-26 01:03:42.17497,2013-02-26 01:04:19.307788
73,0141-5/01,"Produção de sementes certificadas, exceto de forrageiras para pasto",72,141,142,2013-02-26 01:03:42.178417,2013-02-26 01:04:19.287663
74,0141-5/02,"Produção de sementes certificadas de forrageiras para formação de pasto",72,143,144,2013-02-26 01:03:42.181522,2013-02-26 01:04:19.296736
75,01.42-3,"Produção de mudas e outras formas de propagação vegetal, certificadas",71,146,149,2013-02-26 01:03:42.186344,2013-02-26 01:04:19.322858
76,0142-3/00,"Produção de mudas e outras formas de propagação vegetal, certificadas",75,147,148,2013-02-26 01:03:42.190551,2013-02-26 01:04:19.31459
77,01.5,"Pecuária",2,151,202,2013-02-26 01:03:42.195155,2013-02-26 01:04:19.895091
78,01.51-2,"Criação de bovinos",77,152,159,2013-02-26 01:03:42.198571,2013-02-26 01:04:19.373964
79,0151-2/01,"Criação de bovinos para corte",78,153,154,2013-02-26 01:03:42.201904,2013-02-26 01:04:19.347208
80,0151-2/02,"Criação de bovinos para leite",78,155,156,2013-02-26 01:03:42.20663,2013-02-26 01:04:19.358288
81,0151-2/03,"Criação de bovinos, exceto para corte e leite",78,157,158,2013-02-26 01:03:42.210149,2013-02-26 01:04:19.365293
82,01.52-1,"Criação de outros animais de grande porte",77,160,167,2013-02-26 01:03:42.213686,2013-02-26 01:04:19.455269
83,0152-1/01,"Criação de bufalinos",82,161,162,2013-02-26 01:03:42.21743,2013-02-26 01:04:19.383372
84,0152-1/02,"Criação de eqüinos",82,163,164,2013-02-26 01:03:42.220749,2013-02-26 01:04:19.402677
85,0152-1/03,"Criação de asininos e muares",82,165,166,2013-02-26 01:03:42.225392,2013-02-26 01:04:19.427172
86,01.53-9,"Criação de caprinos e ovinos",77,168,173,2013-02-26 01:03:42.229557,2013-02-26 01:04:19.507445
87,0153-9/01,"Criação de caprinos",86,169,170,2013-02-26 01:03:42.233186,2013-02-26 01:04:19.496323
88,0153-9/02,"Criação de ovinos, inclusive para produção de lã",86,171,172,2013-02-26 01:03:42.236635,2013-02-26 01:04:19.503121
89,01.54-7,"Criação de suínos",77,174,177,2013-02-26 01:03:42.239667,2013-02-26 01:04:19.538494
90,0154-7/00,"Criação de suínos",89,175,176,2013-02-26 01:03:42.243938,2013-02-26 01:04:19.535743
91,01.55-5,"Criação de aves",77,178,189,2013-02-26 01:03:42.248038,2013-02-26 01:04:19.656424
92,0155-5/01,"Criação de frangos para corte",91,179,180,2013-02-26 01:03:42.25143,2013-02-26 01:04:19.549044
93,0155-5/02,"Produção de pintos de um dia",91,181,182,2013-02-26 01:03:42.255392,2013-02-26 01:04:19.566533
94,0155-5/03,"Criação de outros galináceos, exceto para corte",91,183,184,2013-02-26 01:03:42.258711,2013-02-26 01:04:19.59419
95,0155-5/04,"Criação de aves, exceto galináceos",91,185,186,2013-02-26 01:03:42.26718,2013-02-26 01:04:19.62058
96,0155-5/05,"Produção de ovos",91,187,188,2013-02-26 01:03:42.27119,2013-02-26 01:04:19.648164
97,01.59-8,"Criação de animais não especificados anteriormente",77,190,201,2013-02-26 01:03:42.275988,2013-02-26 01:04:19.890683
98,0159-8/01,"Apicultura",97,191,192,2013-02-26 01:03:42.279436,2013-02-26 01:04:19.666641
99,0159-8/02,"Criação de animais de estimação",97,193,194,2013-02-26 01:03:42.282952,2013-02-26 01:04:19.698266
100,0159-8/03,"Criação de escargô",97,195,196,2013-02-26 01:03:42.28815,2013-02-26 01:04:19.734428
101,0159-8/04,"Criação de bicho-da-seda",97,197,198,2013-02-26 01:03:42.292056,2013-02-26 01:04:19.754732
102,0159-8/99,"Criação de outros animais não especificados anteriormente",97,199,200,2013-02-26 01:03:42.295514,2013-02-26 01:04:19.885187
103,01.6,"Atividades de apoio à agricultura e à pecuária, atividades de pós-colheita",2,203,228,2013-02-26 01:03:42.299386,2013-02-26 01:04:19.993924
104,01.61-0,"Atividades de apoio à agricultura",103,204,213,2013-02-26 01:03:42.303061,2013-02-26 01:04:19.935424
105,0161-0/01,"Serviço de pulverização e controle de pragas agrícolas",104,205,206,2013-02-26 01:03:42.306953,2013-02-26 01:04:19.904927
106,0161-0/02,"Serviço de poda de árvores para lavouras",104,207,208,2013-02-26 01:03:42.310424,2013-02-26 01:04:19.909887
107,0161-0/03,"Serviço de preparação de terreno, cultivo e colheita",104,209,210,2013-02-26 01:03:42.314785,2013-02-26 01:04:19.915353
108,0161-0/99,"Atividades de apoio à agricultura não especificadas anteriormente",104,211,212,2013-02-26 01:03:42.318255,2013-02-26 01:04:19.922487
109,01.62-8,"Atividades de apoio à pecuária",103,214,223,2013-02-26 01:03:42.321877,2013-02-26 01:04:19.974386
110,0162-8/01,"Serviço de inseminação artificial em animais",109,215,216,2013-02-26 01:03:42.325512,2013-02-26 01:04:19.947976
111,0162-8/02,"Serviço de tosquiamento de ovinos",109,217,218,2013-02-26 01:03:42.329218,2013-02-26 01:04:19.954851
112,0162-8/03,"Serviço de manejo de animais",109,219,220,2013-02-26 01:03:42.334666,2013-02-26 01:04:19.959553
113,0162-8/99,"Atividades de apoio à pecuária não especificadas anteriormente",109,221,222,2013-02-26 01:03:42.338147,2013-02-26 01:04:19.969674
114,01.63-6,"Atividades de pós-colheita",103,224,227,2013-02-26 01:03:42.341033,2013-02-26 01:04:19.988058
115,0163-6/00,"Atividades de pós-colheita",114,225,226,2013-02-26 01:03:42.344606,2013-02-26 01:04:19.984204
116,01.7,"Caça e serviços relacionados",2,229,234,2013-02-26 01:03:42.348581,2013-02-26 01:04:20.025294
117,01.70-9,"Caça e serviços relacionados",116,230,233,2013-02-26 01:03:42.352377,2013-02-26 01:04:20.014695
118,0170-9/00,"Caça e serviços relacionados",117,231,232,2013-02-26 01:03:42.355922,2013-02-26 01:04:20.007795
119,02,"PRODUÇÃO FLORESTAL",,237,286,2013-02-26 01:03:42.358096,2013-02-26 01:04:20.264108
120,02.1,"Produção florestal - florestas plantadas",119,238,261,2013-02-26 01:03:42.361206,2013-02-26 01:04:20.155632
121,02.10-1,"Produção florestal - florestas plantadas",120,239,260,2013-02-26 01:03:42.364812,2013-02-26 01:04:20.146445
122,0210-1/01,"Cultivo de eucalipto",121,240,241,2013-02-26 01:03:42.369046,2013-02-26 01:04:20.057328
123,0210-1/02,"Cultivo de acácia-negra",121,242,243,2013-02-26 01:03:42.373713,2013-02-26 01:04:20.067995
124,0210-1/03,"Cultivo de pinus",121,244,245,2013-02-26 01:03:42.377169,2013-02-26 01:04:20.073615
125,0210-1/04,"Cultivo de teca",121,246,247,2013-02-26 01:03:42.380244,2013-02-26 01:04:20.077769
126,0210-1/05,"Cultivo de espécies madeireiras, exceto eucalipto, acácia-negra, pinus e teca",121,248,249,2013-02-26 01:03:42.384202,2013-02-26 01:04:20.085974
127,0210-1/06,"Cultivo de mudas em viveiros florestais",121,250,251,2013-02-26 01:03:42.387837,2013-02-26 01:04:20.09306
128,0210-1/07,"Extração de madeira em florestas plantadas",121,252,253,2013-02-26 01:03:42.392086,2013-02-26 01:04:20.107859
129,0210-1/08,"Produção de carvão vegetal - florestas plantadas",121,254,255,2013-02-26 01:03:42.395792,2013-02-26 01:04:20.122984
130,0210-1/09,"Produção de casca de acácia-negra - florestas plantadas",121,256,257,2013-02-26 01:03:42.398908,2013-02-26 01:04:20.127633
131,0210-1/99,"Produção de produtos não-madeireiros não especificados anteriormente em florestas plantadas",121,258,259,2013-02-26 01:03:42.404297,2013-02-26 01:04:20.134154
132,02.2,"Produção florestal - florestas nativas",119,262,279,2013-02-26 01:03:42.409436,2013-02-26 01:04:20.233497
133,02.20-9,"Produção florestal - florestas nativas",132,263,278,2013-02-26 01:03:42.416558,2013-02-26 01:04:20.227763
134,0220-9/01,"Extração de madeira em florestas nativas",133,264,265,2013-02-26 01:03:42.420736,2013-02-26 01:04:20.166957
135,0220-9/02,"Produção de carvão vegetal - florestas nativas",133,266,267,2013-02-26 01:03:42.425122,2013-02-26 01:04:20.175995
136,0220-9/03,"Coleta de castanha-do-pará em florestas nativas",133,268,269,2013-02-26 01:03:42.429984,2013-02-26 01:04:20.190545
137,0220-9/04,"Coleta de látex em florestas nativas",133,270,271,2013-02-26 01:03:42.436964,2013-02-26 01:04:20.195819
138,0220-9/05,"Coleta de palmito em florestas nativas",133,272,273,2013-02-26 01:03:42.44078,2013-02-26 01:04:20.20037
139,0220-9/06,"Conservação de florestas nativas",133,274,275,2013-02-26 01:03:42.448294,2013-02-26 01:04:20.207444
140,0220-9/99,"Coleta de produtos não-madeireiros não especificados anteriormente em florestas nativas",133,276,277,2013-02-26 01:03:42.457934,2013-02-26 01:04:20.214128
141,02.3,"Atividades de apoio à produção florestal",119,280,285,2013-02-26 01:03:42.466836,2013-02-26 01:04:20.257306
142,02.30-6,"Atividades de apoio à produção florestal",141,281,284,2013-02-26 01:03:42.471032,2013-02-26 01:04:20.248831
143,0230-6/00,"Atividades de apoio à produção florestal",142,282,283,2013-02-26 01:03:42.478404,2013-02-26 01:04:20.243965
144,03,"PESCA E AQÜICULTURA",,287,344,2013-02-26 01:03:42.48074,2013-02-26 01:04:20.667844
145,03.1,"Pesca",144,288,309,2013-02-26 01:03:42.487641,2013-02-26 01:04:20.379042
146,03.11-6,"Pesca em água salgada",145,289,298,2013-02-26 01:03:42.49758,2013-02-26 01:04:20.324486
147,0311-6/01,"Pesca de peixes em água salgada",146,290,291,2013-02-26 01:03:42.502032,2013-02-26 01:04:20.29648
148,0311-6/02,"Pesca de crustáceos e moluscos em água salgada",146,292,293,2013-02-26 01:03:42.510936,2013-02-26 01:04:20.307996
149,0311-6/03,"Coleta de outros produtos marinhos",146,294,295,2013-02-26 01:03:42.520414,2013-02-26 01:04:20.313165
150,0311-6/04,"Atividades de apoio à pesca em água salgada",146,296,297,2013-02-26 01:03:42.530917,2013-02-26 01:04:20.31833
151,03.12-4,"Pesca em água doce",145,299,308,2013-02-26 01:03:42.536481,2013-02-26 01:04:20.374778
152,0312-4/01,"Pesca de peixes em água doce",151,300,301,2013-02-26 01:03:42.54092,2013-02-26 01:04:20.335127
153,0312-4/02,"Pesca de crustáceos e moluscos em água doce",151,302,303,2013-02-26 01:03:42.546622,2013-02-26 01:04:20.346324
154,0312-4/03,"Coleta de outros produtos aquáticos de água doce",151,304,305,2013-02-26 01:03:42.551006,2013-02-26 01:04:20.356773
155,0312-4/04,"Atividades de apoio à pesca em água doce",151,306,307,2013-02-26 01:03:42.563081,2013-02-26 01:04:20.36751
156,03.2,"Aqüicultura",144,310,343,2013-02-26 01:03:42.569743,2013-02-26 01:04:20.66414
157,03.21-3,"Aqüicultura em água salgada e salobra",156,311,324,2013-02-26 01:03:42.57457,2013-02-26 01:04:20.502449
158,0321-3/01,"Criação de peixes em água salgada e salobra",157,312,313,2013-02-26 01:03:42.581201,2013-02-26 01:04:20.396574
159,0321-3/02,"Criação de camarões em água salgada e salobra",157,314,315,2013-02-26 01:03:42.588257,2013-02-26 01:04:20.407666
160,0321-3/03,"Criação de ostras e mexilhões em água salgada e salobra",157,316,317,2013-02-26 01:03:42.597286,2013-02-26 01:04:20.420803
161,0321-3/04,"Criação de peixes ornamentais em água salgada e salobra",157,318,319,2013-02-26 01:03:42.606453,2013-02-26 01:04:20.439415
162,0321-3/05,"Atividades de apoio à aqüicultura em água salgada e salobra",157,320,321,2013-02-26 01:03:42.615534,2013-02-26 01:04:20.476095
163,0321-3/99,"Cultivos e semicultivos da aqüicultura em água salgada e salobra não especificados anteriormente",157,322,323,2013-02-26 01:03:42.624258,2013-02-26 01:04:20.492438
164,03.22-1,"Aqüicultura em água doce",156,325,342,2013-02-26 01:03:42.628821,2013-02-26 01:04:20.647435
165,0322-1/01,"Criação de peixes em água doce",164,326,327,2013-02-26 01:03:42.632584,2013-02-26 01:04:20.523907
166,0322-1/02,"Criação de camarões em água doce",164,328,329,2013-02-26 01:03:42.638091,2013-02-26 01:04:20.545061
167,0322-1/03,"Criação de ostras e mexilhões em água doce",164,330,331,2013-02-26 01:03:42.641999,2013-02-26 01:04:20.559764
168,0322-1/04,"Criação de peixes ornamentais em água doce",164,332,333,2013-02-26 01:03:42.649563,2013-02-26 01:04:20.576835
169,0322-1/05,"Ranicultura",164,334,335,2013-02-26 01:03:42.656184,2013-02-26 01:04:20.588877
170,0322-1/06,"Criação de jacaré",164,336,337,2013-02-26 01:03:42.667531,2013-02-26 01:04:20.611961
171,0322-1/07,"Atividades de apoio à aqüicultura em água doce",164,338,339,2013-02-26 01:03:42.673155,2013-02-26 01:04:20.625149
172,0322-1/99,"Cultivos e semicultivos da aqüicultura em água doce não especificados anteriormente",164,340,341,2013-02-26 01:03:42.680815,2013-02-26 01:04:20.643291
173,B,"INDÚSTRIAS EXTRATIVAS",,345,356,2013-02-26 01:03:42.688755,2013-02-26 01:04:20.745776
174,05,"EXTRAÇÃO DE CARVÃO MINERAL",173,346,355,2013-02-26 01:03:42.69404,2013-02-26 01:04:20.740303
175,05.0,"Extração de carvão mineral",174,347,354,2013-02-26 01:03:42.701117,2013-02-26 01:04:20.716344
176,05.00-3,"Extração de carvão mineral",175,348,353,2013-02-26 01:03:42.70981,2013-02-26 01:04:20.708973
177,0500-3/01,"Extração de carvão mineral",176,349,350,2013-02-26 01:03:42.720027,2013-02-26 01:04:20.695564
178,0500-3/02,"Beneficiamento de carvão mineral",176,351,352,2013-02-26 01:03:42.727594,2013-02-26 01:04:20.704953
179,06,"EXTRAÇÃO DE PETRÓLEO E GÁS NATURAL",,357,368,2013-02-26 01:03:42.735387,2013-02-26 01:04:20.83917
180,06.0,"Extração de petróleo e gás natural",179,358,367,2013-02-26 01:03:42.745073,2013-02-26 01:04:20.83524
181,06.00-0,"Extração de petróleo e gás natural",180,359,366,2013-02-26 01:03:42.784915,2013-02-26 01:04:20.824039
182,0600-0/01,"Extração de petróleo e gás natural",181,360,361,2013-02-26 01:03:42.812698,2013-02-26 01:04:20.775576
183,0600-0/02,"Extração e beneficiamento de xisto",181,362,363,2013-02-26 01:03:42.837855,2013-02-26 01:04:20.795126
184,0600-0/03,"Extração e beneficiamento de areias betuminosas",181,364,365,2013-02-26 01:03:42.847619,2013-02-26 01:04:20.809737
185,07,"EXTRAÇÃO DE MINERAIS METÁLICOS",,369,420,2013-02-26 01:03:42.85004,2013-02-26 01:04:21.169432
186,07.1,"Extração de minério de ferro",185,370,377,2013-02-26 01:03:42.859838,2013-02-26 01:04:20.889728
187,07.10-3,"Extração de minério de ferro",186,371,376,2013-02-26 01:03:42.874831,2013-02-26 01:04:20.879028
188,0710-3/01,"Extração de minério de ferro",187,372,373,2013-02-26 01:03:42.878858,2013-02-26 01:04:20.856618
189,0710-3/02,"Pelotização, sinterização e outros beneficiamentos de minério de ferro",187,374,375,2013-02-26 01:03:42.886612,2013-02-26 01:04:20.875065
190,07.2,"Extração de minerais metálicos não-ferrosos",185,378,419,2013-02-26 01:03:42.891214,2013-02-26 01:04:21.165741
191,07.21-9,"Extração de minério de alumínio",190,379,384,2013-02-26 01:03:42.896571,2013-02-26 01:04:20.918571
192,0721-9/01,"Extração de minério de alumínio",191,380,381,2013-02-26 01:03:42.904561,2013-02-26 01:04:20.90622
193,0721-9/02,"Beneficiamento de minério de alumínio",191,382,383,2013-02-26 01:03:42.911833,2013-02-26 01:04:20.913707
194,07.22-7,"Extração de minério de estanho",190,385,390,2013-02-26 01:03:42.919397,2013-02-26 01:04:20.956352
195,0722-7/01,"Extração de minério de estanho",194,386,387,2013-02-26 01:03:42.928345,2013-02-26 01:04:20.935419
196,0722-7/02,"Beneficiamento de minério de estanho",194,388,389,2013-02-26 01:03:42.936526,2013-02-26 01:04:20.949624
197,07.23-5,"Extração de minério de manganês",190,391,396,2013-02-26 01:03:42.945301,2013-02-26 01:04:21.004026
198,0723-5/01,"Extração de minério de manganês",197,392,393,2013-02-26 01:03:42.951516,2013-02-26 01:04:20.973322
199,0723-5/02,"Beneficiamento de minério de manganês",197,394,395,2013-02-26 01:03:42.957986,2013-02-26 01:04:20.979444
200,07.24-3,"Extração de minério de metais preciosos",190,397,402,2013-02-26 01:03:42.962179,2013-02-26 01:04:21.046929
201,0724-3/01,"Extração de minério de metais preciosos",200,398,399,2013-02-26 01:03:42.971131,2013-02-26 01:04:21.033287
202,0724-3/02,"Beneficiamento de minério de metais preciosos",200,400,401,2013-02-26 01:03:42.976843,2013-02-26 01:04:21.039143
203,07.25-1,"Extração de minerais radioativos",190,403,406,2013-02-26 01:03:42.983967,2013-02-26 01:04:21.089823
204,0725-1/00,"Extração de minerais radioativos",203,404,405,2013-02-26 01:03:42.989767,2013-02-26 01:04:21.083421
205,07.29-4,"Extração de minerais metálicos não-ferrosos não especificados anteriormente",190,407,418,2013-02-26 01:03:42.994521,2013-02-26 01:04:21.158344
206,0729-4/01,"Extração de minérios de nióbio e titânio",205,408,409,2013-02-26 01:03:43.000652,2013-02-26 01:04:21.105687
207,0729-4/02,"Extração de minério de tungstênio",205,410,411,2013-02-26 01:03:43.009254,2013-02-26 01:04:21.125163
208,0729-4/03,"Extração de minério de níquel",205,412,413,2013-02-26 01:03:43.022322,2013-02-26 01:04:21.137916
209,0729-4/04,"Extração de minérios de cobre, chumbo, zinco e outros minerais metálicos não-ferrosos não especificados anteriormente",205,414,415,2013-02-26 01:03:43.037506,2013-02-26 01:04:21.145571
210,0729-4/05,"Beneficiamento de minérios de cobre, chumbo, zinco e outros minerais metálicos não-ferrosos não especificados anteriormente",205,416,417,2013-02-26 01:03:43.043993,2013-02-26 01:04:21.152321
211,08,"EXTRAÇÃO DE MINERAIS NÃO-METÁLICOS",,421,476,2013-02-26 01:03:43.049598,2013-02-26 01:04:21.573238
212,08.1,"Extração de pedra, areia e argila",211,422,447,2013-02-26 01:03:43.087337,2013-02-26 01:04:21.320347
213,08.10-0,"Extração de pedra, areia e argila",212,423,446,2013-02-26 01:03:43.094104,2013-02-26 01:04:21.308551
214,0810-0/01,"Extração de ardósia e beneficiamento associado",213,424,425,2013-02-26 01:03:43.108144,2013-02-26 01:04:21.200849
215,0810-0/02,"Extração de granito e beneficiamento associado",213,426,427,2013-02-26 01:03:43.130368,2013-02-26 01:04:21.209621
216,0810-0/03,"Extração de mármore e beneficiamento associado",213,428,429,2013-02-26 01:03:43.138065,2013-02-26 01:04:21.224262
217,0810-0/04,"Extração de calcário e dolomita e beneficiamento associado",213,430,431,2013-02-26 01:03:43.14335,2013-02-26 01:04:21.229311
218,0810-0/05,"Extração de gesso e caulim",213,432,433,2013-02-26 01:03:43.149508,2013-02-26 01:04:21.236018
219,0810-0/06,"Extração de areia, cascalho ou pedregulho e beneficiamento associado",213,434,435,2013-02-26 01:03:43.154033,2013-02-26 01:04:21.244622
220,0810-0/07,"Extração de argila e beneficiamento associado",213,436,437,2013-02-26 01:03:43.159302,2013-02-26 01:04:21.264135
