code;description
7931;RECEITA DA DÍVIDA ATIVA TRIBUTÁRIA - INTRA-ORÇAMENTÁRIAS
7932;RECEITA DA DÍVIDA ATIVA NÃO TRIBUTÁRIA - INTRA-ORÇAMENTÁRIAS
8111;TÍTULOS  DE RESPONSABILIDADE DO GOVERNO - INTRA-ORÇAMENTÁRIAS
8114;OPERAÇÕES DE CRÉDITO INTERNAS - CONTRATUAIS - INTRA-ORÇAMENTÁRIAS
8119;OUTRAS OPERAÇÕES DE CRÉDITO INTERNAS - INTRA-ORÇAMENTÁRIAS
8211;ALIENAÇÃO DE TÍTULOS MOBILIÁRIOS - INTRA-ORÇAMENTÁRIAS
8212;ALIENAÇÃO DE ESTOQUES - INTRA-ORÇAMENTÁRIAS
8214;ALIENAÇÃO DE ANIMAIS REPRODUTORES E MATRIZES - INTRA-ORÇAMENTÁRIAS
8219;ALIENAÇÃO DE OUTROS BENS MÓVEIS - INTRA-ORÇAMENTÁRIAS
8222;PRODUTO DE ALIENAÇÕES - INTRA-ORÇAMENTÁRIAS
8224;ALIENAÇÃO DE IMÓVEIS RURAIS - INTRA-ORÇAMENTÁRIAS
8225;ALIENAÇÃO DE IMÓVEIS URBANOS - INTRA-ORÇAMENTÁRIAS
8229;ALIENAÇÃO DE OUTROS BENS IMÓVEIS - INTRA-ORÇAMENTÁRIAS
8473;TRANSFERÊNCIAS DE CONVÊNIOS DOS MUNICÍPIOS E SUAS ENTIDADES - INTRA-ORÇAMENTÁRIAS
8482;PROVENIENTES DE PESSOAS JURÍDICAS - INTRA-ORÇAMENTÁRIAS
8484;PROVENIENTES DE DEPÓSITOS NÃO IDENTIFICADOS - INTRA-ORÇAMENTÁRIAS - INTRA-ORÇAMENTÁRIAS
8521;INTEGRALIZAÇÃO COM RECURSOS DO TESOURO - INTRA-ORÇAMENTÁRIAS
8522;INTEGRALIZAÇÃO COM RECURSOS DE OUTRAS FONTES - INTRA-ORÇAMENTÁRIAS
1210;CONTRIBUIÇÕES SOCIAIS
1990;RECEITAS CORRENTES DIVERSAS
1940;RECEITAS DECORRENTES DE APORTES PERIÓDICOS PARA AMORTIZAÇÃO DE DÉFICIT ATUARIAL DO RPPS
1520;RECEITAS DA INDÚSTRIA DE TRANSFORMAÇÃO
