31201600;OUTRAS DESPESAS VARIÁVEIS - PESSOAL CIVIL;A;REGISTRA O  VALOR DAS TRANSFERÊNCIAS EFETUADAS À UNIÃO  PARA REALIZAÇÕES DE DESPESAS RELACIONADAS ÀS ATIVIDADES DO CARGO/EMPEREGO OU FUNÇÃO DO SERVIDOR, E CUJO PAGAMENTO SÓ SE EFETUA EM CIRCUNSTÂNCIAS ESPECÍFICAS, TAIS COMO: HORA-EXTRA; SUBSTITUIÇÕES; E OUTRAS DESPESAS DA ESPÉCIE, DECORRENTES DO PAGAMENTO DE PESSOAL DOS ÓRGÃOS E ENTIDADES DA ADMINISTRAÇÃO DIRETA E INDIRETA;;;;;;;;;;;;;;;;;;;;;;;;;
31203400;OUTRAS DESPESAS DE PESSOAL DECORRENTES DE CONTRATOS DE TERCEIRIZAÇÃO;A;REGISTRA O  VALOR DAS TRANSFERÊNCIAS EFETUADAS À UNIÃO  PARA REALIZAÇÕES DE DESPESAS RELATIVAS A MÃO DE OBRA CONSTANTES DOS CONTRATOS DE TERCEIRIZAÇÃO QUE SEJAM INERENTES A CATEGORIAS FUNCIONAIS ABRANGIDAS PELO RESPECTIVO PLANO DE CARGOS DO QUADRO DE PESSOAL, CLASSIFICÁVEIS NO GRUPO DE DESPESAS  '1-PESSOAL E ENCARGOS SOCIAIS', EM OBEDIÊNCIA AOS ARTIGO 18 § 1º DA LRF, QUANDO A MÃO DE OBRA ENVOLVER CATEGORIAS FUNCIONAIS EM EXTINÇÃO A DESPESAS SERÁ CLASSIFICADA NOS MESMOS ELEMENTOS DAS DEMAIS DESPESAS DO CONTRATO E NO GRUPO DE DESPESA '3-OUTRAS DESPESAS CORRENTES';;;;;;;;;;;;;;;;;;;;;;;;;;;
31209100;SENTENÇAS JUDICIAIS;S;REPRESENTA O SOMATÓRIO DAS TRANSFERÊNCIAS EFETUADAS À UNIÃO  PARA REALIZAÇÕES DE DESPESAS CORRENTES RESULTANTES DE: A) PAGAMENTO DE PRECATÓRIOS, EM CUMPRIMENTO AO DISPOSTO NO ART. 100 E SEUS PARÁGRAFOS DA CONSTITUIÇÃO, E NO ART. 78 DO ADCT; B) CUMPRIMENTO DE SENTENÇAS JUDICIAIS TRANSITADAS EM JULGADO, DE EMPRESAS PÚBLICAS E SOCIEDADES DE ECONOMIA MISTA, INTEGRANTES DOS ORÇAMENTOS FISCAL E DA SEGURIDADE SOCIAL; C) CUMPRIMENTO DE SENTENÇAS  JUDICIAIS, TRANSITADAS EM JULGADO, DE PEQUENO VALOR, NA FORMA DEFINIDA EM LEI, NOS TERMOS DO § 3° DO ART.100 DA CONSTITUIÇÃO; E D) CUMPRIMENTO DE DECISÕES JUDICIAIS, PROFERUDAS EM MANDATOS DE SEGURANÇA E MEDIDAS CAUTELARES, REFERENTES A VANTAGENS PECUNIÁRIAS CONCEDIDAS E AINDA NÃO INCORPORADAS EM CARÁTER DEFINITIVO ÀS REMUNERAÇÕES DOS BENEFICIÁRIOS;;;;;;;;;;;;;;;;;;;;;;;;
31209160;SENTENÇAS JUDICIAIS;A;REGISTRA O  VALOR DAS TRANSFERÊNCIAS EFETUADAS À UNIÃO  PARA REALIZAÇÕES DE DESPESAS CORRENTES RESULTANTES DE: A) PAGAMENTO DE PRECATÓRIOS,;;;;;;;;;;;;;;;;;;;;;;;;;;;
31209161;SENTENÇAS JUDICIAIS - ANTERIORES A 05/05/2000;A;REGISTRA O  VALOR DAS TRANSFERÊNCIAS EFETUADAS À UNIÃO  PARA REALIZAÇÕES DE DESPESAS CORRENTES RESULTANTES DE: A) PAGAMENTO DE PRECATÓRIOS - ANTERIORES A 05/05/2000,;;;;;;;;;;;;;;;;;;;;;;;;;;;
31209199;OUTRAS SENTENÇAS JUDICIAIS;A;REGISTRA O VALOR DAS TRANSFERÊNCIAS À UNIÃO PARA DESPESAS REALIZADAS COM OUTRAS  SENTENÇAS JUDICIAIS NÃO CLASSIFICÁVEIS NOS SUBITENS ANTERIORES.;;;;;;;;;;;;;;;;;;;;;;;;;;;
31710500;OUTROS BENEFÍCIOS PREVIDENCIÁRIOS  - TRANSFERÊNCIAS A CONSÓRCIOS PÚBLICOS;A;REGISTRA O VALOR DAS TRANSFERÊNCIAS EFETUADAS A CONSÓRCIOS PARA DESPESAS COM OUTROS BENEFÍCIOS DO SISTEMA PREVIDENCIÁRIO EXCLUSIVE APOSENTADORIAS, REFORMAS E PENSÕES.;;;;;;;;;;;;;;;;;;;;;;;;;;;
33911399;XXXXXXXXXXXXXXXXXXX;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31209200;DESPESAS DE EXERCÍCIOS ANTERIORES;A;"REGISTRA O  VALOR DAS TRANSFERÊNCIAS EFETUADAS À UNIÃO  PARA REALIZAÇÕES DE DESPESAS EM CUMPRIMENTO AO ART.37 DA LEI 4320/64, QUE DISPÓE: ""ART.37 - AS DESPESAS DE EXERCÍCIOS ENCERRADOS, PARA AS QUAIS O ORÇAMENTO RESPECTIVO CONSIGNAVA CRÉDITO PÓPRIO, COM SALDO SUFICIENTE PARA ATENDÊ-LAS, QUE NÃO SE TENHAM PROCESSADO NA ÉPOCA PRÓPRIA, BEM COMO OS RESTOS A PAGAR COM PRESCRIÇÃO INTERROMPIDA E OS COMPROMISSOS RECONHECIDOS APÓS O ENCERRAMENTO DO EXERCÍCIO CORRESPONDENTE, PODEÃO SER PAGAS À CONTA DE DOTAÇÃO ESPECÍFICACONSIGNADA NO ORÇAMENTO, DISCRIMINADA POR ELEMENTO, OBEDECIDA, SEMPRE QUE POSSÍVEL, A ORDEM CRONOLÓGICA"".";;;;;;;;;;;;;;;;;;;;;;;;;;;
31209400;INDENIZAÇÕES E RESTITUIÇÕES TRABALHISTAS;A;REGISTRA O  VALOR DAS TRANSFERÊNCIAS EFETUADAS À UNIÃO  PARA REALIZAÇÕES DE DESPESAS DE NATUREZA REMUNERATÓRIA RESULTANTES DO  PAGAMENTOS EFETUADO A SERVIDORES PÚBLICOS CIVIS E EMPREGADOS DE  ENTIDADES INTEGRANTES DA ADMINISTRAÇÃO PÚBLICA, INCLUSIVE FÉRIAS E AVISO PRÉVIO INDENIZADOS, MULTAS E CONTRIBUIÇÕES INCIDENTES SOBRE OS DEPÓSITOS DO FUNDO DE GARANTIA POR TEMPO DE SERVIÇO, ETC, EM FUNÇÃO DA PERDA DA CONDIÇÃO DE SERVIDOR OU EMPREGADO, PODENDO SER EM DECORRÊNCIA DA PARTICIPAÇÃO EM PROGRAMA DE DESLIGAMENTO VOLUNTÁRIO, BEM COMO A RESTITUIÇÃO DE VALORES DESCONTADOS INDEVIDAMENTE, QUANDO NÃO FOR POSSÍVEL EFETUAR ESSA RESTITUIÇÃO MEDIANTE COMPENSAÇÃO COM A RECEITA CORRESPONDENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;
31209500;INDENIZAÇÕES PELA EXECUÇÃO DE TRABALHOS DE CAMPO;A;REGISTRA O  VALOR DAS TRANSFERÊNCIAS EFETUADAS À UNIÃO  PARA REALIZAÇÕES DE DESPESAS COM INDENIZAÇÕES DEVIDAS AOS SERVIDORES QUE SE AFASTAREM DESEU LOCAL DE TRABALHO, SEM DIREITO À PERCEPÇÃO DE TRABALHOS DE CAMPO, TAIS COMO OS DE CAMPANHA DE COMBATE E CONTROLE DE ENDEMIAS; MARCAÇÃO, INSPEÇÃO E MANUTENÇÃO DE MARCOS DECISÓRIOS; TOPOGRAFIA, PESQUISA, SANEAMENTO BÁSICO, INSPEÇÃO E FISCALIZAÇÃO DE FRONTEIRAS INTERNACIONAIS;;;;;;;;;;;;;;;;;;;;;;;;;
31209600;RESSARCIMENTO DE DESPESAS DE PESSOAL REQUISITADO;A;REGISTRA O  VALOR DAS TRANSFERÊNCIAS EFETUADAS À UNIÃO  PARA REALIZAÇÕES DE DESPESASREALIZADAS PELO ÓRGÃO OU ENTIDADE DE ORIGEM QUANDO O SERVIDOR PERTENCER A OUTRAS ESFERAS DE GOVERNO OU A EMPRESAS ESTATAIS NÃO DEPENDENTES E OPTAR PELA REMUNERAÇÃO DO CARGO EFETIVO, NOS TERMOS DAS NORMAS VIGENTES.;;;;;;;;;;;;;;;;;;;;;;;;;;;
31209900;OUTRAS DESPESAS DE PESSOAL A CLASSIFICAR;A;REGISTRA O  VALOR DAS TRANSFERÊNCIAS EFETUADAS À UNIÃO  PARA REALIZAÇÕES DE OUTRAS DESPESAS COM PESSOAL NÃO CLASSÍFICÁVEIS NOS ELEMENTOS ANTERIORES;;;;;;;;;;;;;;;;;;;;;;;;;;;
31300000;TRANSFERÊNCIAS A ESTADOS E AO DISTRITO FEDERAL;S;REPRESENTA O SOMATÓRIO DOS VALORES DAS TRANSFERÊNCIAS EFETUADAS A ESTADOS E  AO DISTRITO FEDERAL PARA REALIZAÇÕES DE DESPESAS COM PESSOAL E  ENCARGOS SOCIAIS.;;;;;;;;;;;;;;;;;;;;;;;;;;;
31300100;APOSENTADORIAS E REFORMAS;A;REGISTRA O  VALOR DAS TRANSFERÊNCIAS EFETUADAS A ESTADOS E AO DISTRITO FEDERAL  PARA REALIZAÇÕES DE DESPESAS COM PAGAMENTOS DE INATIVOS CIVIS E SEGURADOS DO PLANO DE BENEFÍCIOS DA PREVIDÊNCIA SOCIAL;;;;;;;;;;;;;;;;;;;;;;;;;;;
31300300;PENSÕES;A;REGISTRA O  VALOR DAS TRANSFERÊNCIAS EFETUADAS A ESTADOS E AO DISTRITO FEDERAL  PARA REALIZAÇÕES DE DESPESAS COM PENSIONISTAS CIVIS; PENSIONISTAS DO PLANO DE BENEFÍCIOS DA PREVIDÊNCIA SOCIAL; PENSÕES CONCEDIDAS POR LEI ESPECÍFICA OU POR SENTENÇAS JUDICIAIS;;;;;;;;;;;;;;;;;;;;;;;;;
31300400;CONTRATAÇÃO POR TEMPO DETERMINADO;A;REGISTRA O  VALOR DAS TRANSFERÊNCIAS EFETUADAS A ESTADOS E AO DISTRITO FEDERAL  PARA REALIZAÇÕES DE DESPESAS COM A CONTRATAÇÃO DE PESSOAL POR TEMPO DETERMINADO PARA ATENDER A NECESSIDADE TEMPORÁRIA DE EXCEPCIONAL INTERESSE PÚBLICO, DE ACORDO COM LEGISLAÇÃO ESPECÍFICA DE CADA ENTE DA FEDERAÇÃO, INCLUSIVE OBRIGAÇÕES PATRONAIS E OUTRAS DESPESAS VARIÁVEIS, QUANDO FOR O CASO ;;;;;;;;;;;;;;;;;;;;;;;;;;;
31300500;OUTROS BENEFÍCIOS PREVIDENCIÁRIOS;A;REGISTRA O  VALOR DAS TRANSFERÊNCIAS EFETUADAS A ESTADOS E AO DISTRITO FEDERAL  PARA REALIZAÇÕES DE DESPESAS COM OUTROS BENEFÍCIOS DO SISTEMA PREVIDENCIÁRIO EXCLUSIVE APOSENTADORIAS, REFORMAS E PENSÕES.OS;;;;;;;;;;;;;;;;;;;;;;;;;;;
31300700;CONTRIBUIÇÃO A ENTIDADES FECHADAS DE PREVIDÊNCIA;A;REGISTRA O  VALOR DAS TRANSFERÊNCIAS EFETUADAS A ESTADOS E AO DISTRITO FEDERAL  PARA REALIZAÇÕES DE DESPESAS COM ENCARGOS DA ENTIDADE PATROCINADORA NO REGIME DE PREVIDÊNCIA FECHADA, PARA COMPLEMENTAÇÃO DE APOSENTADORIA.;;;;;;;;;;;;;;;;;;;;;;;;;;;
31300800;OUTROS BENEFÍCIOS ASSISTENCIAIS;A;REGISTRA O  VALOR DAS TRANSFERÊNCIAS EFETUADAS A ESTADOS E AO DISTRITO FEDERAL  PARA REALIZAÇÕES DE DESPESAS COM AUXÍLIO-FUNERAL DEVIDO À FAMÍLIA DO SERVIDOR FELECIDO NA ATIVIDADE, OU APOSENTADO,  OU A TERCEIRO QUE CUSTEAR, COMPROVADAMENTE, AS DESPESAS COM O FUNERAL DO EX-SERVIDOR; AUXÍLIO-RECLUSÃO DEVIDO À FAMÍLIA DO SERVIDOR AFASTADO POR MOTIVO DE PRISÃO; AUXÍLIO-NATALIDADE DEVIDO À SERVIDORA, CÔNJUGE OU COMPANHEIRO SERVIDOR PÚBLICO POR MOTIVO DE NASCIMENTO DE FILHO; AUXÍLIO0CRECHE OU ASSISTÊNCIA PRÉ-ESCOLARE AUXÍLIO INVALIDEZ PAGOS DIRETAMENTE AO SERVIDOR ;;;;;;;;;;;;;;;;;;;;;;;;
31300900;SALÁRIO-FAMÍLIA ;A;REGISTRA O  VALOR DAS TRANSFERÊNCIAS EFETUADAS A ESTADOS E AO DISTRITO FEDERAL  PARA REALIZAÇÕES DE DESPESAS COM BENEFÍCIO PECUNIÁRIO DEVIDO AOS DEPENDENTES ECONÔMICOS DO SERVIDOR, EXCLUSIVE OS REGIDOS PELA CONSOLIDAÇÃO DAS LEIS DO TRABALHO - CLT, OS QUAIS SÃO PAGOS À CONTA DO PLANO DE BENEFÍCIOS DA PREVIDÊNCIA SOCIAL;;;;;;;;;;;;;;;;;;;;;;;;;;;
31301100;VENCIMENTOS E VANTAGENS FIXAS - PESSOAL CIVIL;A;REGISTRA O  VALOR DAS TRANSFERÊNCIAS EFETUADAS A ESTADOS E AO DISTRITO FEDERAL  PARA REALIZAÇÕES DE DESPESAS COM VENCIMENTOS E VANTAGENS FIXAS - PESSOAL CIVIL;;;;;;;;;;;;;;;;;;;;;;;;;;;
31301300;OBRIGAÇÕES PATRONAIS;A;REGISTRA O  VALOR DAS TRANSFERÊNCIAS EFETUADAS A ESTADOS E AO DISTRITO FEDERAL  PARA REALIZAÇÕES DE DESPESAS COM ENCARGOS QUE A ADMINISTRAÇÃO TEM PELA SUA CONDIÇÃO DE EMPREDADORA, E RESULTANTES DE FUNDO DE GARANTIA POR TEMPO DE SERVIÇO E CONTRIBUIÇÕES PARA INSTITUTOS DE PREVIDÊNCIA;;;;;;;;;;;;;;;;;;;;;;;;;;;
31301600;OUTRAS DESPESAS VARIÁVEIS - PESSOAL CIVIL;A;REGISTRA O  VALOR DAS TRANSFERÊNCIAS EFETUADAS A ESTADOS E AO DISTRITO FEDERAL  PARA REALIZAÇÕES DE DESPESAS RELACIONADAS ÀS ATIVIDADES DO CARGO/EMPEREGO OU FUNÇÃO DO SERVIDOR, E CUJO PAGAMENTO SÓ SE EFETUA EM CIRCUNSTÂNCIAS ESPECÍFICAS, TAIS COMO: HORA-EXTRA; SUBSTITUIÇÕES; E OUTRAS DESPESAS DA ESPÉCIE, DECORRENTES DO PAGAMENTO DE PESSOAL DOS ÓRGÃOS E ENTIDADES DA ADMINISTRAÇÃO DIRETA E INDIRETA;;;;;;;;;;;;;;;;;;;;;;;;;
31303400;OUTRAS DESPESAS DE PESSOAL DECORRENTES DE CONTRATOS DE TERCEIRIZAÇÃO;A;REGISTRA O  VALOR DAS TRANSFERÊNCIAS EFETUADAS A ESTADOS E AO DISTRITO FEDERAL  PARA REALIZAÇÕES DE DESPESAS RELATIVAS A MÃO DE OBRA CONSTANTES DOS CONTRATOS DE TERCEIRIZAÇÃO QUE SEJAM INERENTES A CATEGORIAS FUNCIONAIS ABRANGIDAS PELO RESPECTIVO PLANO DE CARGOS DO QUADRO DE PESSOAL, CLASSIFICÁVEIS NO GRUPO DE DESPESAS  '1-PESSOAL E ENCARGOS SOCIAIS', EM OBEDIÊNCIA AOS ARTIGO 18 § 1º DA LRF, QUANDO A MÃO DE OBRA ENVOLVER CATEGORIAS FUNCIONAIS EM EXTINÇÃO A DESPESAS SERÁ CLASSIFICADA NOS MESMOS ELEMENTOS DAS DEMAIS DESPESAS DO CONTRATO E NO GRUPO DE DESPESA '3-OUTRAS DESPESAS CORRENTES';;;;;;;;;;;;;;;;;;;;;;;;;;;
33329300;INDENIZAÇÕES E RESTITUIÇÕES;A;INCLUSÃO  - ATUALIZAÇÃO DA PORTARIA 163 EM 25.08.2010;;;;;;;;;;;;;;;;;;;;;;;;;;;
33323000;MATERIAL DE CONSUMO;A;INCLUSÃO  - ATUALIZAÇÃO DA PORTARIA 163 EM 25.08.2010;;;;;;;;;;;;;;;;;;;;;;;;;;;
31304100;CONTRIBUIÇÕES;A;REGISTRA O VALOR DAS TRANSFERÊNCIAS EFETUADAS A ESTADOS E AO DISTRITO FEDERAL A TÍTULO DE CONTRIBUIÇÕES  PARA A REALIZAÇÃO DE DESPESAS COM PESSOAL E ENCARGOS SOCIAIS.;;;;;;;;;;;;;;;;;;;;;;;;;;;
31309100;SENTENÇAS JUDICIAIS;S;REPRESENTA O SOMATÓRIO DAS TRANSFERÊNCIAS EFETUADAS A ESTADOS E AO DISTRITO FEDERAL  PARA REALIZAÇÕES DE DESPESAS CORRENTES RESULTANTES DE: A) PAGAMENTO DE PRECATÓRIOS, EM CUMPRIMENTO AO DISPOSTO NO ART. 100 E SEUS PARÁGRAFOS DA CONSTITUIÇÃO, E NO ART. 78 DO ADCT; B) CUMPRIMENTO DE SENTENÇAS JUDICIAIS TRANSITADAS EM JULGADO, DE EMPRESAS PÚBLICAS E SOCIEDADES DE ECONOMIA MISTA, INTEGRANTES DOS ORÇAMENTOS FISCAL E DA SEGURIDADE SOCIAL; C) CUMPRIMENTO DE SENTENÇAS  JUDICIAIS, TRANSITADAS EM JULGADO, DE PEQUENO VALOR, NA FORMA DEFINIDA EM LEI, NOS TERMOS DO § 3° DO ART.100 DA CONSTITUIÇÃO; E D) CUMPRIMENTO DE DECISÕES JUDICIAIS, PROFERUDAS EM MANDATOS DE SEGURANÇA E MEDIDAS CAUTELARES, REFERENTES A VANTAGENS PECUNIÁRIAS CONCEDIDAS E AINDA NÃO INCORPORADAS EM CARÁTER DEFINITIVO ÀS REMUNERAÇÕES DOS BENEFICIÁRIOS;;;;;;;;;;;;;;;;;;;;;;;;
31309160;SENTENÇAS JUDICIAIS;A;REGISTRA O  VALOR DAS TRANSFERÊNCIAS EFETUADAS À ESTADOS  E AO DISTRITO FEDERAL PARA REALIZAÇÕES DE DESPESAS CORRENTES RESULTANTES DE: A) PAGAMENTO DE PRECATÓRIOS,;;;;;;;;;;;;;;;;;;;;;;;;;;;
31309161;SENTENÇAS JUDICIAIS - ANTERIORES A 05/05/2000;A;REGISTRA O  VALOR DAS TRANSFERÊNCIAS EFETUADAS À ESTADOS E AO DISTRITO FEDERAL PARA REALIZAÇÕES DE DESPESAS CORRENTES RESULTANTES DE: A) PAGAMENTO DE PRECATÓRIOS - ANTERIORES A 05/05/2000,;;;;;;;;;;;;;;;;;;;;;;;;;;;
31309199;OUTRAS SENTENÇAS JUDICIAIS;A;REGISTRA O VALOR DAS TRANSFERÊNCIAS À ESTADOS E AO DISTRITO FEDERAL PARA DESPESAS REALIZADAS COM OUTRAS  SENTENÇAS JUDICIAIS NÃO CLASSIFICÁVEIS NOS SUBITENS ANTERIORES.;;;;;;;;;;;;;;;;;;;;;;;;;;;
31309200;DESPESAS DE EXERCÍCIOS ANTERIORES;A;"REGISTRA O  VALOR DAS TRANSFERÊNCIAS EFETUADAS A ESTADOS E AO DISTRITO FEDERAL  PARA REALIZAÇÕES DE DESPESAS EM CUMPRIMENTO AO ART.37 DA LEI 4320/64, QUE DISPÓE: ""ART.37 - AS DESPESAS DE EXERCÍCIOS ENCERRADOS, PARA AS QUAIS O ORÇAMENTO RESPECTIVO CONSIGNAVA CRÉDITO PÓPRIO, COM SALDO SUFICIENTE PARA ATENDÊ-LAS, QUE NÃO SE TENHAM PROCESSADO NA ÉPOCA PRÓPRIA, BEM COMO OS RESTOS A PAGAR COM PRESCRIÇÃO INTERROMPIDA E OS COMPROMISSOS RECONHECIDOS APÓS O ENCERRAMENTO DO EXERCÍCIO CORRESPONDENTE, PODEÃO SER PAGAS À CONTA DE DOTAÇÃO ESPECÍFICACONSIGNADA NO ORÇAMENTO, DISCRIMINADA POR ELEMENTO, OBEDECIDA, SEMPRE QUE POSSÍVEL, A ORDEM CRONOLÓGICA"".";;;;;;;;;;;;;;;;;;;;;;;;;;;
