code;specification;kind;docket;status;;;
11210000;TAXAS PELO EXERCÍCIO DO PODER DE POLICIA;S;REPRESENTA O SOMATÓRIO DA ARRECADAÇÃO DE TAXAS PELO EXERCÍCIO DO PODER DE POLÍCIA PELO PODER PÚBLICO, COM A FINALIDADE DE FISCALIZAR OS SERVIÇOS PRESTADOS POR PARTICULARES, DISCIPLINANDO, LIMITANDO OU REGULANDO DIREITOS E DEVERES DESTES. CONSIDERA-SE PODER DE POLÍCIA A ATIVIDADE DA ADMINISTRAÇÃO PÚBLICA QUE, LIMITANDO OU DISCIPLINANDO DIREITO, INTERESSE OU LIBERDADE, REGULA A PRÁTICA DE ATO OU A ABSTENÇÃO DE FATO, EM RAZÃO DE INTERESSE PÚBLICO CONCERNENTE À SEGURANÇA, À HIGIENE, À ORDEM, AOS COSTUMES, À DISCIPLINA DA PRODUÇÃO E DO MERCADO, AO EXERCÍCIO DE ATIVIDADES ECONÔMICAS DEPENDENTES DE CONCESSÃO OU AUTORIZAÇÃO DO PODER PÚBLICO, À TRANQÜILIDADE PÚBLICA, OU AO RESPEITO À PROPRIEDADE E AOS DIREITOS INDIVIDUAIS OU COLETIVOS.;A;;;
11210400;TAXAS DE FISCALIZAÇÃO DE EMPRESAS DE SEGURANÇA;A;REGISTRA O VALOR DA ARRECADAÇÃO DA RECEITA   DE TAXAS SOBRE A PRESTAÇÃO DE SERVIÇOS RELATIVOS À FISCALIZAÇÃO DE EMPRESAS DE SEGURANÇA PRIVADA, SEGURANÇA PRÓPRIA E TRANSPORTE DE VALORES DE ESTABELECIMENTOS FINANCEIROS E DE ESTABELECIMENTO DE FORMAÇÃO DE VIGILANTES;A;;;
11211000;TAXA DE LICENCIAMENTO, CONTROLE E FISCALIZAÇÃO DE MATERIAIS NUCLEARES E RADIOATIVOS E SUAS INSTALAÇÕES ? TLC;A;REGISTRA O VALOR DA ARRECADAÇÃO DE RECEITA DE TAXA SOBRE O LICENCIAMENTO, CONTROLE E FISCALIZAÇÃO, PESQUISA E DESENVOLVIMENTO, APOIO TÉCNICO OPERACIONAL E APOIO AO DESENVOLVIMENTO E APLICAÇÃO DE MATERIAIS DIDÁTICOS E PEDAGÓGICOS RELACIONADOS COM MATERIAIS NUCLEARES E RADIOATIVOS E SUAS INSTALAÇÕES.;A;;;
11211100;TAXA DE FISCALIZAÇÃO E CONTROLE DA PREVIDÊNCIA COMPLEMENTAR ? TAFIC;A;REGISTRA O VALOR DA ARRECADAÇÃO DE RECEITA DE TAXA SOBRE A FISCALIZAÇÃO E CONTROLE DA PREVIDÊNCIA COMPLEMENTAR ? TAFIC.;A;;;
11211700;TAXA DE FISCALIZAÇÃO DE VIGILÂNCIA SANITÁRIA;A;REGISTRA O VALOR  DA ARRECADAÇÃO DA RECEITA  DE TAXA DE FISCALIZAÇÃO DE LOCAIS E INSTALAÇÕES ONDE SÃO FABRICADOS, PRODUZIDOS, BENEFICIADOS, MANIPULADOS, ACONDICIONADOS, CONSERVADOS, DEPOSITADOS, ARMAZENADOS, TRANSPORTADOS, VENDIDOS OU CONSUMIDOS ALIMENTOS, BEM COMO, EXERCIDAS ATIVIDADES QUE POSSAM AFETAR A SAÚDE PÚBLICA, EM OBSERVÂNCIA AS NORMAS SANITÁRIAS.;A;;;
11212000;TAXA DE SAÚDE SUPLEMENTAR;S;REPRESENTA O SOMATÓRIO DA ARRECADAÇÃO DE RECEITA DE TAXA DE SAÚDE SUPLEMENTAR DEVIDA POR PESSOAS JURÍDICAS, CONDOMÍNIOS OU CONSÓRCIOS CONSTITUÍDOS SOB A MODALIDADE DE SOCIEDADE CIVIL OU COMERCIAL, COOPERATIVA OU ENTIDADE DE AUTOGESTÃO, QUE OPEREM O PRODUTO, SERVIÇOS OU CONTRATO COM A FINALIDADE DE GARANTIR A ASSISTÊNCIA À SAÚDE VISANDO À ASSISTÊNCIA MÉDICA HOSPITALAR OU ODONTOLÓGICA.;A;;;
11212099;OUTRAS TAXAS DE SAÚDE SUPLEMENTAR;A;REGISTRA O VALOR DE OUTRAS TAXAS DE SAÚDE SUPLEMENTAR, NÃO CLASSIFICADAS NOS ITENS ANTERIORES.;A;;;
11212100;TAXA DE CONTROLE E FISCALIZAÇÃO AMBIENTAL;A;REGISTRA O VALOR DA ARRECADAÇÃO DA RECEITA  DA  TAXA  DE  FISCALIZAÇÃO AMBIENTAL, DEVIDA POR PESSOAS FÍSICAS OU JURÍDICAS OBRIGADAS AO REGISTRO NO CADASTRO TÉCNICO DE  ATIVIDADES  POTENCIALMENTE  POLUIDORAS OU UTILIZADORAS DE RECURSOS AMBIENTAIS.                          ;A;;;
11212300;TAXA DE SERVIÇOS METROLÓGICOS;A;REGISTRA O VALOR DA ARRECADAÇÃO DE RECEITA DE TAXA DE SERVIÇOS METROLÓGICOS DEVIDA PELAS PESSOAS NATURAIS E JURÍDICAS, NACIONAIS E ESTRANGEIRAS, QUE ATUEM NO MERCADO PARA FABRICAR, IMPORTAR, PROCESSAR, MONTAR, ACONDICIONAR OU COMERCIALIZAR BENS, MERCADORIAS E PRODUTOS E PRESTAR SERVIÇOS.;A;;;
11212400;TAXA DE FISCALIZAÇÃO SOBRE A DISTRIBUIÇÃO GRATUITA DE PRÊMIOS E SORTEIOS;A;REGISTRA O VALOR DA ARRECADAÇÃO DE RECEITA DE TAXA DE FISCALIZAÇÃO DA DISTRIBUIÇÃO GRATUITA DE PRÊMIOS E SORTEIOS.;A;;;
13250201;RECEITA DE REMUNERAÇÃO DE DEPÓSITOS DE POUPANÇA;A;REGISTRA O VALOR DA ARRECADAÇÃO DE RECEITA DE REMUNERAÇÃO DE DEPÓSITOS DE POUPANÇA.;A;;;
13250202;REMUNERAÇÃO DE APLICAÇÕES EXTRAMERCADO;A;REGISTRA O VALOR DA ARRECADAÇÃO DE RECEITA DE REMUNERAÇÃO DE APLICAÇÕES EXTRAMERCADO.;A;;;
11212500;TAXA DE LICENÇA PARA FUNCIONAMENTO DE ESTABELECIMENTOS COMERCIAIS, INDÚSTRIAS E PRESTADORAS DE SERVIÇOS;A;REGISTRA O VALOR DA ARRECADAÇÃO DA RECEITA  DE TAXA DE FISCALIZAÇÃO DA LOCALIZAÇÃO DE ESTABELECIMENTOS COMERCIAIS, INDUSTRIAIS E DE PRESTAÇÃO DE SERVIÇOS, INSTITUÍDA PELA LEGISLAÇÃO DO USO E OCUPAÇÃO DO SOLO  URBANO ÀS POSTURAS MUNICIPAIS RELATIVAS À SEGURANÇA, ORDEM E TRANQÜILIDADE PÚBLICAS;A;;;
11212600;TAXA DE PUBLICIDADE COMERCIAL;A;REGISTRA O VALOR DA ARRECADAÇÃO DA RECEITA  DE TAXA DE UTILIZAÇÃO  DE  ESPAÇO PÚBLICO DESTINADO A DIVULGAÇÃO DE PRODUTOS DO COMÉRCIO.;A;;;
11212700;TAXA DE APREENSÃO E DEPÓSITO;A;REGISTRA O VALOR DA ARRECADAÇÃO DA RECEITA   DE TAXA DE APREENSÃO E DEPÓSITO DE BENS ORIUNDOS DE IRREGULARIDADES APRESENTADAS QUANDO DA FISCALIZAÇÃO. ;A;;;
11212800;TAXA DE FUNCIONAMENTO DE ESTABELECIMENTOS EM HORÁRIO ESPECIAL;A;REGISTRA O VALOR DA ARRECADAÇÃO DA RECEITA  DE TAXA DE FUNCIONAMENTO EM ESTABELECIMENTO EM HORÁRIO ESPECIAL. A RESPECTIVA TAXA É DESTINADA A BARES, BOATES, BARRACAS POR OCASIÃO DE FESTAS CARNAVALESCAS, PODENDO FUNCIONAR A QUALQUER HORA;A;;;
11212900;TAXA DE LICENÇA PARA EXECUÇÃO DE OBRAS;A;REGISTRA O VALOR DA ARRECADAÇÃO DA RECEITA  DE TAXA DE LICENÇA PARA A EXECUÇÃO DE OBRAS. A RESPECTIVA TAXA É COBRADA DO RESPONSÁVEL PELA EXECUÇÃO DAS OBRAS EM OBSERVÂNCIA AOS CRITÉRIOS DESCRITOS EM LEI.;A;;;
11213000;TAXA DE AUTORIZAÇÃO DE FUNCIONAMENTO DE TRANSPORTE;A;REGISTRA O VALOR DA ARRECADAÇÃO DA RECEITA  DE TAXA DE AUTORIZAÇÃO DE FUNCIONAMENTO DE TRANSPORTE, CARACTERIZADA PELA AUTORIZAÇÃO AOS PROPRIETÁRIOS DE VEÍCULOS QUE PRESTAM SERVIÇOS À COMUNIDADE DE TRANSPORTE DE PASSAGEIROS TAIS COMO: TRANSPORTE ESCOLAR, DE FUNCIONÁRIOS E OUTROS PASSAGEIROS.;A;;;
11213100;TAXA DE UTILIZAÇÃO DE ÁREA DE DOMÍNIO PÚBLICO;A;REGISTRA O VALOR DA ARRECADAÇÃO DA RECEITA  DE TAXA DE UTILIZAÇÃO  DE  DOMÍNIO PÚBLICO REFERENTE A ESPAÇO OCUPADO POR BALCÕES, BARRACAS, MESAS, TABULEIROS E SEMELHANTES, NAS FEIRAS, VIAS E LOGRADOUROS PÚBLICOS OU COMO DEPÓSITO DE MATERIAIS OU ESTACIONAMENTO DE VEÍCULOS DESIGNADOS PELA PREFEITURA;A;;;
11213200;TAXA DE APROVAÇÃO DE PROJETO DE CONSTRUÇÃO CIVIL;A;REGISTRA O VALOR DA ARRECADAÇÃO DA RECEITA  DE TAXA DE LICENÇA E APROVAÇÃO E APROVAÇÃO DO PROJETO DE CONSTRUÇÃO CIVIL CORRESPONDENTE A CERTIFICAÇÃO DAS CONDIÇÕES DE UTILIZAÇÃO DE PRÉDIOS E RESIDÊNCIAS.;A;;;
11213400;TAXA DE FISCALIZAÇÃO DE APARELHOS DE TRANSPORTE;A;REGISTRA O VALOR DA ARRECADAÇÃO DE RECEITA DE FISCALIZAÇÃO EXERCIDA EM INSTALAÇÕES (CONSERVAÇÃO E FUNCIONAMENTO) DE ELEVADORES DE PASSAGEIROS E DE CARGAS, DE ALÇAPÕES, ESCADAS ROLANTES, PLANOS INCLINADOS MÓVEIS E OUTROS DE NATUREZA ESPECIAL, EM OBSERVÂNCIA À LEGISLAÇÃO ESPECÍFICA;A;;;
11213500;TAXA DE ALINHAMENTO E NIVELAMENTO;A;REGISTRA O VALOR DA ARRECADAÇÃO DA RECEITA  DE TAXA DE FISCALIZAÇÃO DA METRAGEM NO TOCANTE AO ALINHAMENTO E NIVELAMENTO DE ÁREAS OU TERRENOS;A;;;
11213600;TAXA DE APREENSÃO, DEPÓSITO OU LIBERAÇÃO DE ANIMAIS;A;REGISTRA O VALOR DA ARRECADAÇÃO DA RECEITA  DE TAXA DE APREENSÃO, DEPÓSITO OU LIBERAÇÃO DE ANIMAIS RECOLHIDOS EM RUAS EM FUNÇÃO DE RISCOS CAUSADOS À POPULAÇÃO;A;;;
11213700;TAXA DE REGULAÇÃO DE GÁS CANALIZADO;A;REGISTRA O VALOR DA ARRECADAÇÃO DA RECEITA  DA COBRANÇA DE TAXA PELA PRESTAÇÃO DE SERVIÇO PÚBLICO DE FISCALIZAÇÃO E REGULAÇÃO DE SERVIÇOS DE GÁS CANALIZADO;A;;;
11213800;TAXA DE SERVIÇOS DE TRANSPORTE METROVIÁRIO DE PASSAGEIROS;A;REGISTRA O VALOR DA RECEITA DECORRENTE DA COBRANÇA DE TAXA PELA PRESTAÇÃO DE SERVIÇO PÚBLICO DE FISCALIZAÇÃO E REGULAÇÃO DE SERVIÇOS DE TRANSPORTE METROVIÁRIO DE PASSAGEIROS.;A;;;
11213900;TAXA DE SERVIÇOS DE TRANSPORTE FERROVIÁRIO DE PASSAGEIROS;A;REGISTRA O VALOR DA RECEITA DECORRENTE DA COBRANÇA DE TAXA PELA PRESTAÇÃO DE SERVIÇO PÚBLICO DE FISCALIZAÇÃO E REGULAÇÃO DE SERVIÇOS DE TRANSPORTE FERROVIÁRIO DE PASSAGEIROS.;A;;;
11214000;TAXA DE SERVIÇOS DE TRANSPORTE MARÍTIMO DE PASSAGEIROS;A;REGISTRA O VALOR DA RECEITA DECORRENTE DA COBRANÇA DE TAXA PELA PRESTAÇÃO DE SERVIÇO PÚBLICO DE FISCALIZAÇÃO E REGULAÇÃO DE SERVIÇOS DE TRANSPORTE MARÍTIMO DE PASSAGEIROS.;A;;;
11219900;OUTRAS TAXAS PELO EXERCÍCIO DE PODER DE POLÍCIA;A;REGISTRA O VALOR DA ARRECADAÇÃO DA RECEITA  DE OUTRAS TAXAS PELO EXERCÍCIO DO PODER DE POLÍCIA, NÃO CLASSIFICADAS NOS ITENS ANTERIORES.;A;;;
11220000;TAXAS PELA PRESTAÇÃO DE SERVIÇOS;S;REPRESENTA O SOMATÓRIO DA ARRECADAÇÃO DE TAXAS PELA UTILIZAÇÃO EFETIVA OU POTENCIAL DE SERVIÇOS PRESTADOS AO CONTRIBUINTE OU COLOCADOS A SUA DISPOSIÇÃO. NESTE TÍTULO SÃO CLASSIFICADAS AS TAXAS PELA PRESTAÇÃO DE SERVIÇOS PÚBLICOS: A) UTILIZADOS PELO CONTRIBUINTE ? EFETIVAMENTE, QUANDO POR ELE USUFRUÍDOS A QUALQUER TÍTULO; POTENCIALMENTE, QUANDO, SENDO DE UTILIZAÇÃO COMPULSÓRIA, SEJAM POSTOS A SUA DISPOSIÇÃO MEDIANTE ATIVIDADE ADMINISTRATIVA EM EFETIVO FUNCIONAMENTO; B) ESPECÍFICOS, QUANDO POSSAM SER DESTACADOS EM UNIDADES AUTÔNOMAS DE INTERVENÇÃO, DE UTILIDADE OU DE NECESSIDADE PÚBLICA; C) DIVISÍVEIS, QUANDO SUSCETÍVEIS DE UTILIZAÇÃO, SEPARADAMENTE, POR PARTE DE CADA UM DOS SEUS USUÁRIOS.;A
11220400;TAXA DE AVALIAÇÃO DO ENSINO SUPERIOR;A;REGISTRA O VALOR DA ARRECADAÇÃO DE RECEITA DE TAXA DE AVALIAÇÃO DO ENSINO SUPERIOR.;A;;;
11221200;EMOLUMENTOS E CUSTAS PROCESSUAIS ADMINISTRATIVAS;A;REGISTRA O VALOR DA ARRECADAÇÃO DA RECEITA  DE EMOLUMENTOS E CUSTAS PROCESSUAIS POR ENTIDADES DA ADMINISTRAÇÃO PÚBLICA MUNICIPAL, EM DECORRÊNCIA DA PRESTAÇÃO DE SERVIÇOS DE CONSULTAS E ANÁLISES DE PROCESSOS EM SUAS RESPECTIVAS ÁREAS DE COMPETÊNCIA.;A;;;
11221900;TAXA DE CLASSIFICAÇÃO DE PRODUTOS VEGETAIS;A;REGISTRA O VALOR DA ARRECADAÇÃO DE RECEITA DE TAXA DE SERVIÇOS DE CLASSIFICAÇÃO DE PRODUTOS VEGETAIS.;A;;;
11222100;TAXAS DE SERVIÇOS CADASTRAIS;A;REGISTRA O VALOR DA ARRECADAÇÃO DA RECEITA  DE TAXA DE SERVIÇOS DE APURAÇÃO, INSCRIÇÃO E COBRANÇA DA DÍVIDA ATIVA;A;;;
11222200;TAXA DE SERVIÇOS AQÜÍCOLAS;A;REGISTRA O VALOR DA ARRECADAÇÃO DA RECEITA  DE TAXAS PELA PRESTAÇÃO DE SERVIÇOS AQÜÍCOLAS, ORIGINÁRIOS DOS REGISTROS ANUAIS DE INDÚSTRIA DE PESCA, DE EMPRESAS QUE COMERCIALIZAM ANIMAIS AQUÁTICOS VIVOS, DE PESQUE E PAGUE E DE ARMADOR DE PESCA E AINDA DE EXPEDIÇÃO DE CARTEIRA DE PESCADOR PROFIOSSIONAL;A;;;
11222800;TAXA DE CEMITÉRIOS;A;REGISTRA O VALOR DA ARRECADAÇÃO DA RECEITA  PELA PRESTAÇÃO DE SERVIÇOS DE ADMINISTRAÇÃO DE CEMITÉRIOS PELOS MUNICÍPIOS.;A;;;
11222900;EMOLUMENTOS E CUSTAS EXTRAJUDICIAIS;A;REGISTRA O VALOR DA ARRECADAÇÃO DE RECEITA DE TAXA DE SERVIÇOS EXTRAJUDICIAIS REFERENTES AOS ATOS PRATICADOS EM RAZÃO DO OFÍCIO. SERVENTIAS EXTRAJUDICIAIS, ATIVIDADES PRATICADAS PELOS SERVIÇOS NOTARIAIS E DE REGISTRO: LANÇAMENTO EM LIVROS, CERTIDÕES, TRANSFERÊNCIAS, PROCURAÇÕES, PRORROGAÇÃO DE PRAZO, AUTENTICAÇÕES, AVERBAÇÕES E OUTROS.;A;;;
11229000;TAXA DE LIMPEZA PÚBLICA;A;REGISTRA O VALOR  DA ARRECADAÇÃO DA RECEITA DE TAXA COBRADA A TÍTULO DE LIMPEZA PÚBLICA.;A;;;
11229900;OUTRAS TAXAS PELA PRESTAÇÃO DE SERVIÇOS;A;REGISTRA O VALOR DA ARRECADAÇÃO DA RECEITA   DE OUTRAS TAXAS PELA PRESTAÇÃO DE SERVIÇOS, NÃO CLASSIFICADAS NOS ITENS ANTERIORES;A;;;
11300000;CONTRIBUIÇÃO DE MELHORIA;S;REPRESENTA O SOMATÓRIO  DOS VALORES DA ARRECADAÇÃO COM CONTRIBUIÇÕES DE  MELHORIA DECORRENTES DE OBRAS PÚBLICAS, DE COMPETÊNCIA DOS MUNICÍPIOS, NO ÂMBITO DE SUAS RESPECTIVAS ATRIBUIÇÕES ARRECADADA DOS PROPRIETÁRIOS DE IMÓVEIS BENEFICIADOS PELA OBRA, E TERÁ COMO LIMITE TOTAL A DESPESA REALIZADA..;A;;;
11300100;CONTRIBUIÇÃO DE MELHORIA PARA EXPANSÃO DA REDE DE ÁGUA POTÁVEL E ESGOTO SANITÁRIO;A;REGISTRA O VALOR  DA ARRECADAÇÃO DA RECEITA  DE CONTRIBUIÇÃO DE MELHORIA DECORRENTE DE VALORIZAÇÃO DE PROPRIEDADES EM FUNÇÃO DA EXPANSÃO DA REDE DE ÁGUA POTÁVEL E ESGOTO SANITÁRIO.;A;;;
11300200;CONTRIBUIÇÃO DE MELHORIA PARA EXPANSÃO DA REDE DE ILUMINAÇÃO PÚBLICA NA CIDADE;A;REGISTRA O VALOR DA ARRECADAÇÃO  DA RECEITA  DE CONTRIBUIÇÃO DE MELHORIA DECORRENTE DA VALORIZAÇÃO DE PROPRIEDADES EM FUNÇÃO DA EXPANSÃO DA REDE DE ILUMINAÇÃO PÚBLICA NA CIDADE;A;;;
11300300;CONTRIBUIÇÃO DE MELHORIA PARA EXPANSÃO DA REDE DE ILUMINAÇÃO PÚBLICA RURAL;A;REGISTRA O VALOR DA ARRECADAÇÃO  DA RECEITA DE CONTRIBUIÇÃO DE MELHORIA DECORRENTE DA VALORIZAÇÃO DE PROPRIEDADES EM FUNÇÃO DA EXPANSÃO DA REDE DE ILUMINAÇÃO PÚBLICA RURAL;A;;;
11300400;CONTRIBUIÇÃO DE MELHORIA PARA PAVIMENTAÇÃO E OBRAS COMPLEMENTARES;A;REGISTRA O VALOR DA ARRECADAÇÃO DA RECEITA   DE CONTRIBUIÇÃO DE MELHORIA DECORRENTE DA VALORIZAÇÃO DE PROPRIEDADES EM FUNÇÃO DE PAVIMENTAÇÃO ASFÁLTICA, BEM COMO PELA COLOCAÇÃO DE GUIAS, SARJETAS E CALÇAMENTO;A;;;
11309900;OUTRAS CONTRIBUIÇÕES DE MELHORIA;A;REGISTRA O VALOR DA ARRECADAÇÃO DA RECEITA  DE OUTRAS DE CONTRIBUIÇÃO DE MELHORIA, NÃO CLASSIFICADAS NOS ITENS ANTERIORES;A;;;
12000000;RECEITA DE CONTRIBUIÇÕES;S;REPRESENTA O SOMATÓRIO DOS VALORES DA ARRECADAÇÃO DA RECEITA DE CONTRIBUIÇÕES SOCIAIS, DE INTERVENÇÃO NO DOMÍNIO ECONÔMICO E DE INTERESSE DAS CATEGORIAS PROFISSIONAIS OU ECONÔMICAS, COMO INSTRUMENTO DE INTERVENÇÃO NAS RESPECTIVAS ÁREAS. OS MUNICÍPIOS PODERÃO INSTITUIR CONTRIBUIÇÃO, COBRADA DE SEUS SERVIDORES, PARA O CUSTEIO, EM BENEFÍCIO DESTES, DE SISTEMAS DE PREVIDÊNCIA E ASSISTÊNCIA SOCIAL.;A;;;
12100000;CONTRIBUIÇÕES SOCIAIS;S;REPRESENTA O SOMATÓRIO  DOS VALORES DA ARRECADAÇÃO COM CONTRIBUIÇÕES SOCIAIS CONSTITUÍDAS POR ORDEM SOCIAL E PROFISSIONAL.;A;;;
12102900;CONTRIBUIÇÕES PARA O REGIME PRÓPRIO DE PREVIDÊNCIA DO SERVIDOR PÚBLICO;S;REGISTRA O VALOR DA ARRECADAÇÃO DE RECEITA DE CONTRIBUIÇÕES PATRONAL E DO SERVIDOR, DESTINADAS AO CUSTEIO DO SEU REGIME DE PREVIDÊNCIA, CONFORME DISPOSTO NO ART. 40 DA CONSTITUIÇÃO FEDERAL.;A;;;
12102901;CONTRIBUIÇÃO PATRONAL PARA O REGIME PRÓPRIO DE PREVIDÊNCIA;A;REGISTRA O VALOR DA ARRECADAÇÃO DE RECEITA ORIUNDA DA PARTICIPAÇÃO DOS ENTES, SUAS AUTARQUIAS E FUNDAÇÕES PÚBLICAS PARA O CUSTEIO DO PLANO DE SEGURIDADE SOCIAL DO SERVIDOR, CONFORME DISPOSTO NA LEI NO 10.887, DE 18 DE JUNHO DE 2004.;A;;;
12102903;CONTRIBUIÇÃO PATRONAL ? INATIVO CIVIL;A;REGISTRA O VALOR DA ARRECADAÇÃO DE RECEITA DE CONTRIBUIÇÃO DE ENTIDADES PARA INSTITUTOS DE PREVIDÊNCIA SOCIAL, RELATIVA A SERVIDOR INATIVO CIVIL.;A;;;
12102905;CONTRIBUIÇÃO PATRONAL ? PENSIONISTA CIVIL;A;REGISTRA O VALOR DA ARRECADAÇÃO DA RECEITA  DE CONTRIBUIÇÃO DE ENTIDADES PARA INSTITUTOS DE PREVIDÊNCIA SOCIAL, RELATIVA A PENSIONISTA CIVIL. ;A;;;
12102907;CONTRIBUIÇÃO DO SERVIDOR ATIVO PARA O REGIME PRÓPRIO DE PREVIDÊNCIA;A;REGISTRA O VALOR DA ARRECADAÇÃO DE RECEITA DE CONTRIBUIÇÕES DOS SERVIDORES CIVIS ATIVOS DOS ENTES DA FEDERAÇÃO, SUAS AUTARQUIAS E FUNDAÇÕES.;A;;;
12102909;CONTRIBUIÇÕES DO SERVIDOR INATIVO PARA O REGIME PRÓPRIO DE PREVIDÊNCIA;A;REGISTRA O VALOR DA ARRECADAÇÃO DE RECEITA DA CONTRIBUIÇÃO DOS SERVIDORES CIVIS INATIVOS PARA OS INSTITUTOS DE PREVIDÊNCIA SOCIAL.;A;;;
12102911;CONTRIBUIÇÕES DE PENSIONISTA PARA O REGIME PRÓPRIO DE PREVIDÊNCIA;A;REGISTRA O VALOR DA ARRECADAÇÃO DE RECEITA DA CONTRIBUIÇÃO DOS PENSIONISTAS CIVIS PARA INSTITUTOS DE PREVIDÊNCIA SOCIAL.;A;;;
